# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
339 -1.655848 0.532666 0.341049 231 236 229 0
340 -1.613700 0.534313 0.363758 235 236 231 0
341 -1.560058 0.545972 0.401854 237 237 237 0
342 -1.636530 0.537049 0.399406 237 237 237 0
343 -1.610197 0.544630 0.433285 238 238 240 0
344 -1.690538 0.520179 0.409435 135 138 121 0
345 -1.682425 0.537946 0.373195 229 227 228 0
346 -1.629498 0.538940 0.379529 237 236 234 0
347 -1.710798 0.537816 0.313775 224 223 219 0
348 -1.760240 0.523900 0.390134 218 217 91 0
349 -1.669651 0.538617 0.350696 236 238 237 0
350 1.980341 5.194461 1.392726 202 195 44 0
351 1.988114 5.216620 1.436383 189 186 31 0
352 2.031457 5.231076 1.415496 217 210 57 0
353 1.829201 5.069880 1.390043 157 152 24 0
354 1.842219 5.098574 1.422597 161 157 24 0
355 1.873371 5.106687 1.373931 177 172 28 0
356 1.945216 5.193520 1.433350 191 188 45 0
357 1.964125 5.215208 1.464737 196 190 52 0
358 2.184087 5.299680 1.440827 223 217 57 0
359 2.218585 5.283838 1.405937 231 222 59 0
360 2.169588 5.258019 1.378889 223 218 56 0
361 1.924983 5.153645 1.392552 181 177 28 0
362 2.144231 5.283002 1.425020 213 209 60 0
363 2.061423 5.287603 1.490443 214 210 51 0
364 2.100601 5.277669 1.439781 215 214 62 0
365 1.879610 5.127739 1.418615 166 164 29 0
366 1.899782 5.159797 1.445227 172 172 38 0
367 2.200827 5.252713 1.366829 223 215 54 0
368 2.161205 5.315652 1.480126 221 215 59 0
369 2.124929 5.327494 1.521516 213 213 57 0
370 2.001385 5.252042 1.481023 204 198 50 0
371 2.119370 5.246134 1.378279 216 208 63 0
372 -1.046684 0.520876 0.397846 222 222 196 0
373 -1.298278 0.453170 0.430026 217 215 192 0
374 -1.336610 0.483023 0.435350 217 217 193 0
375 -1.888106 0.224040 0.489620 195 192 149 0
376 -1.195995 0.601130 0.375329 242 244 233 0
377 -1.398077 0.585689 0.324502 222 222 212 0
378 -1.569190 0.541144 0.301158 222 219 210 0
379 -1.469068 0.602367 0.329626 237 236 232 0
380 -1.342674 0.626566 0.357815 236 237 231 0
381 -1.106469 0.713399 0.354068 243 244 239 0
382 -1.247424 0.649274 0.385899 244 244 244 0
383 -1.266925 0.662815 0.404329 246 246 244 0
384 -0.978516 0.592861 0.381194 228 230 208 0
385 -1.317117 0.622531 0.400277 245 245 245 0
386 -1.342631 0.612528 0.369831 238 238 238 0
387 -1.316925 0.614515 0.381307 239 239 237 0
388 -1.253741 0.640595 0.364132 237 239 228 0
389 -1.402451 0.597096 0.364376 238 238 240 0
390 -1.552450 0.502821 0.360638 218 216 203 0
391 -1.215191 0.397070 0.466720 204 203 173 0
392 -1.459657 0.570527 0.363653 238 237 242 0
393 -0.830312 0.472488 0.422140 198 197 166 0
394 1.851290 4.139595 1.181931 91 83 10 0
395 1.905298 4.103336 1.171265 111 104 24 0
396 1.882250 4.173308 1.202713 114 106 34 0
397 1.835326 4.025871 1.169793 106 103 26 0
398 1.815851 4.070355 1.161514 102 98 24 0
399 1.789309 4.045477 1.171701 102 98 24 0
400 1.861625 4.074389 1.165235 89 86 7 0
401 1.816688 4.118969 1.154256 96 92 18 0
402 1.632121 4.040449 1.171431 85 81 7 0
403 1.725724 4.059619 1.171361 93 87 11 0
404 1.659447 4.105898 1.158987 83 79 8 0
405 1.682025 3.998980 1.184641 95 88 16 0
406 1.717298 4.124250 1.152522 84 80 6 0
407 1.758636 4.001385 1.180999 99 95 22 0
408 1.779994 4.069919 1.166995 101 95 21 0
409 1.771097 4.099232 1.155389 89 86 9 0
410 1.962496 4.387276 1.384013 119 116 71 0
411 1.931230 4.278885 1.281329 116 113 62 0
412 1.985788 4.235769 1.254665 143 136 84 0
413 1.892097 4.002919 1.165192 103 101 18 0
414 1.947822 4.053746 1.160730 120 116 27 0
415 1.976072 4.121723 1.180484 154 151 70 0
416 1.932834 4.173003 1.206983 135 131 58 0
417 1.614615 4.746964 -1.321343 207 198 43 0
418 1.595767 4.704379 -1.250700 207 200 49 0
419 1.633602 4.684033 -1.281007 201 194 51 0
420 1.632338 4.788616 -1.392709 207 204 39 0
421 1.594311 4.804867 -1.367012 208 205 38 0
422 1.562158 4.697548 -1.198496 212 207 45 0
423 1.587140 4.677776 -1.203846 210 200 51 0
424 1.643736 4.739113 -1.358054 209 201 41 0
425 1.583628 4.641945 -1.152853 204 198 42 0
426 1.675751 4.684573 -1.360790 189 189 39 0
427 1.695304 4.759050 -1.470767 209 204 58 0
428 1.664118 4.775240 -1.426719 208 201 33 0
429 1.553583 4.763520 -1.276441 211 201 41 0
430 1.583663 4.746397 -1.283952 211 200 46 0
431 1.605875 4.658005 -1.208011 202 200 53 0
432 1.520235 4.725136 -1.200221 213 203 44 0
433 1.703382 4.656140 -1.396212 185 178 35 0
434 1.715965 4.677070 -1.453723 189 187 64 0
435 1.704585 4.705599 -1.440783 197 191 53 0
436 1.514388 4.661429 -1.113432 218 211 58 0
437 1.553452 4.621267 -1.096274 211 205 45 0
438 1.519277 4.595954 -1.041552 212 203 36 0
439 1.473904 4.606384 -1.032245 213 206 40 0
440 1.655081 5.015976 -1.780543 218 215 42 0
441 1.689884 4.984110 -1.790703 222 214 41 0
442 1.680230 5.020769 -1.853373 225 217 46 0
443 1.710824 4.891482 -1.683088 220 211 44 0
444 1.725916 4.852645 -1.683776 216 209 43 0
445 1.724086 4.906121 -1.746001 221 213 44 0
446 1.740773 4.871798 -1.760309 220 211 46 0
447 1.751996 4.810374 -1.734787 209 198 44 0
448 1.705691 5.002121 -1.897691 224 220 50 0
449 1.719712 4.972425 -1.870365 216 210 52 0
450 1.728818 4.971274 -1.930307 211 207 48 0
451 1.737192 4.933073 -1.863516 216 211 47 0
452 1.750898 4.913275 -1.921785 215 212 49 0
453 1.665015 4.969767 -1.720975 221 213 44 0
454 1.616279 5.021666 -1.735919 217 213 44 0
455 1.636774 4.989634 -1.707870 216 214 44 0
456 1.736747 4.908884 -1.803355 218 209 46 0
457 1.753652 4.866064 -1.835091 212 206 46 0
458 1.704846 4.988754 -1.846672 223 215 46 0
459 1.697404 4.935774 -1.719180 221 213 50 0
460 1.717995 4.951538 -1.808653 220 212 43 0
461 1.762767 4.861437 -1.908592 206 199 46 0
462 1.731519 4.471904 0.571887 227 218 53 0
463 1.685510 4.468723 0.529416 215 208 40 0
464 1.663490 4.468671 0.582422 207 199 38 0
465 1.730639 4.467138 0.505200 226 217 54 0
466 1.694529 4.475729 0.652193 215 207 38 0
467 1.740878 4.478152 0.625302 232 220 58 0
468 1.652624 4.466092 0.629075 210 202 41 0
469 1.844720 4.567268 0.721163 212 204 35 0
470 1.870286 4.518837 0.689113 219 211 40 0
471 1.804053 4.522714 0.693767 223 207 34 0
472 1.810283 4.486212 0.650067 224 213 33 0
473 1.794345 4.461073 0.485960 225 214 28 0
474 1.754096 4.464018 0.453091 217 210 42 0
475 1.749173 4.494072 0.673829 218 204 35 0
476 1.699870 4.484051 0.705077 198 191 41 0
477 1.897639 4.585122 0.729415 211 203 40 0
478 1.722979 4.463896 0.440265 234 221 55 0
479 1.877405 4.612963 0.747548 208 200 37 0
480 1.926804 4.564244 0.723637 209 204 42 0
481 1.935640 4.515473 0.705574 208 198 38 0
482 1.638368 4.463399 0.670962 197 190 58 0
483 1.771803 4.467730 0.546329 223 211 37 0
484 1.844554 4.639618 0.771354 212 204 33 0
485 1.795295 4.470728 0.597087 222 212 29 0
486 1.749635 4.463216 0.402264 216 208 39 0
487 1.780543 4.461622 0.425443 222 216 34 0
488 -3.167344 0.355628 0.291843 207 195 49 0
489 -3.236828 0.318454 0.348378 199 188 47 0
490 -3.168137 0.338827 0.348055 205 193 47 0
491 -2.996013 0.415204 0.225461 208 197 45 0
492 -3.102391 0.391302 0.224938 210 196 47 0
493 -3.094932 0.373099 0.296722 212 198 50 0
494 -3.310956 0.293603 0.276550 190 181 52 0
495 -3.363465 0.256761 0.328440 191 181 57 0
496 -3.290958 0.303327 0.318202 198 188 56 0
497 -3.055615 0.413705 0.158696 207 196 46 0
498 -2.968068 0.437520 0.163985 210 196 45 0
499 -3.161427 0.374423 0.187913 202 191 49 0
500 -2.998653 0.385943 0.307893 208 197 43 0
501 -2.901538 0.453780 0.176237 208 194 43 0
502 -2.839426 0.490247 0.123013 204 192 44 0
503 -3.223199 0.341015 0.267557 201 190 48 0
504 -2.905477 0.434801 0.224563 208 195 41 0
505 -2.815838 0.480305 0.170799 202 190 42 0
506 -3.316254 0.272489 0.382954 189 181 44 0
507 -3.393223 0.220511 0.392670 183 178 52 0
508 -2.949621 0.448970 0.122272 211 197 49 0
509 -2.887535 0.477856 0.072534 208 196 50 0
510 -3.004535 0.430444 0.102082 204 195 54 0
511 -2.808318 0.450852 0.234349 201 190 38 0
512 1.762575 4.762701 -1.756562 198 193 49 0
513 1.759795 4.721659 -1.672605 183 181 34 0
514 1.771036 4.705739 -1.740363 173 168 40 0
515 1.762767 4.861437 -1.908592 205 200 48 0
516 1.764300 4.827619 -1.877327 207 200 47 0
517 1.765058 4.823044 -1.922098 200 199 57 0
518 1.753652 4.866064 -1.835091 211 205 49 0
519 1.760789 4.803516 -1.795984 199 193 45 0
520 1.765869 4.804396 -1.841295 194 189 45 0
521 1.765790 4.739836 -1.826752 180 174 50 0
522 1.766487 4.766038 -1.849312 187 180 48 0
523 1.762932 4.767136 -1.811477 187 184 45 0
524 1.766592 4.734198 -1.789108 184 177 45 0
525 1.765599 4.700476 -1.800907 171 166 38 0
526 1.773363 4.788354 -1.888289 180 178 43 0
527 1.762592 4.730469 -1.879148 155 153 34 0
528 1.751996 4.810374 -1.734787 202 195 42 0
529 1.764344 4.779275 -1.948763 174 171 42 0
530 1.747395 4.722844 -1.955045 153 146 30 0
531 1.738664 4.675728 -1.896096 138 134 27 0
532 1.697901 4.601966 -1.878320 140 131 36 0
533 1.709978 4.668670 -1.962313 141 137 29 0
534 -3.455405 0.037112 0.305462 165 163 122 0
535 -3.335625 0.151376 0.197315 171 170 113 0
536 -3.179918 0.108748 0.244945 182 180 132 0
537 -3.448556 0.188819 0.282127 171 165 53 0
538 -3.478252 0.166547 0.285220 165 157 50 0
539 -3.455771 0.184837 0.325434 175 170 52 0
540 -3.516628 0.136005 0.276803 154 153 61 0
541 -3.543344 0.091277 0.316816 137 134 63 0
